ques,A,B,C,D,E,Ans
How frequent should reports from protection andenvironmental work be send to shore based management?,Not mandatory to send reports.,Every three years.,Annually.,Biannually.,Don't know.,C
How often do you have to certify cargo hoses?,Every 24 month,Every 12 month,Every 6 month,Only when you purchase new hoses,Don't know.,B
How should gas bottles be stored?,Under the forecastle.,In a refrigerated room.,"In the workshop in the engine room as close as
possible to welding equipment.","In two separate rooms outside the engine room
space.",Don't know.,D
How will you treat a seasick person?,"Make him swallow seasick pills until he stops
vomiting.",Force him to eat any kind of fat food.,"Leave him in bed or request him to have some fresh
air.","Encourage him to drink a lot of lukewarm sea
water.",Don't know.,C
"If Mouth - to - Mouth (M-T-M) ventilation by itself isunsuccessful and the casualty's heart stops, or has stoppedbeating, you must perform External Chest Compression (ECC)in conjunction with M-T-M. When performing ECC, where doyou place your hand on the casualty's body?","The correct position of your hands are of no
importance.","Place the heel of your two hands on the top of the
breastbone.","Place the heel of your hand on the top of the heart
position. Cover the hand with the heel of the other
hand.","Place the heel of one hand, two finger breadths
above the bottom of breastbone. Cover the hand
with the heel of the other hand.",Don't know.,D
"If conditions permit, which is the best way to board a liferaftwhich is floating close to the ship?","Jump into the water close to the raft, without a
lifejacket, as this will make it easier to swim and
board the liferaft","Wearing a lifejacket, jump into the water close to
the raft and then swim to it","Use a rope ladder close to the raft to climb down
and board",Jump onto the raft itself,Don't know.,C
"If pollution takes place, what would you do immediately?",Start clean-up operations.,Report to relevant authorities.,Inform the manager.,Inform the vessel's agent.,Don't know.,B
"If the A.C. line current in a generator is doubled, the heatingeffect in the stator windings will:",Quadruple,Remain about the same.,Half.,Double.,Don't know.,C
"If the heat transfer capacity in a heat exchanger is dropping,the following action should be taken:",Decrease the flowrate,Increase pressure,Increase the flowrate,Clean the heat transfer surface,Don't know.,D
"If the temperature increase, what will happen with theinterface in the bowl?",Interface towards center.,Interface outwards center.,Increase of the purification capasity.,Will have no effect on interface.,Don't know.,A
"If you get a heavy scavenging air fire, which one of thefollowing part is likely to take the most serious damage ?",Crosshead bearing.,Piston.,Stuffing box.,Exhaust valve.,Don't know.,D
"In accommodation spaces, where must manually operated callpoints be located?",In stairways and escape routes,In all crew and passenger cabins,"In messrooms, public lounges and other public
rooms",At exits and in corridors,Don't know.,A
Indicate the correct name for the part marked on the sketch:,Air inlet valve,Cylinder relief valve,Exhaust valve,Cylinder head,Don't know.,A
Occasions may occur that survey has to be undertaken viarafting. What is recognized as minimum height betweenlowest flat-faced web and water level?,0.75m?,1.0m?,2.5m?,3.0m?,Don't know.,D
"On regular inspections of alternator windings it is found thatwindings are always covered with a heavy oil film coming fromthe atmosphere surrounding the auxiliary engine. Aftercleaning with an approved solvent, what do you do?",Improve material of intake air filters,Reinsulate the windings after each cleaning,Take no additional action,Blank off intake air filters,Don't know.,C
Optimum cleaning effect in a lube oil purifier is achieved by:,Flexible Pipe,"Keeping a low temperature and high flow rate
through the purifier.","Keeping the lube oil in a state of low viscosity for a
short period in the centrifuge bowl.","Keeping the lube oil in a state of low viscosity for a
long period in the centrifuge bowl.",Don't know.,C
Reduced capacity accompanied by vibration and noise at thesuction of a centrifugal pump results from the action of vaporpockets in the fluid being pumped caused by:,Steam knock,Fluid friction,Water hammer,Cavitation,Don't know.,D
"Spray painting has been carried out in the engine room whilethe engine was running, and the turbocharger was notprotected. This could be the cause of one of the following:",Scavenging air pressure is higher than normal,"The revolutions on the turbocharger are higher than
normal","The revolution of the turbocharger lower than
normal.",Exhaust gas temperatures are higher than normal,Don't know.,C
"The IMO Code requires protection against spillage of the mostdangerous products (ethyl ether, antiknock lead compoundssuch as TML and TEL etc) by prescribing that:","They shall be carried in cargo tanks independent of
the ships hull structure?","They shall be carried in tanks surrounded by water
ballast?","They shall be carried only in centre tanks having
double bottoms?","The cargo shall not have a height in any tank above
that of the vessel's waterline?water.",Don't know.,C
The Training Manual shall contain instructions and informationon the life-saving appliances and the best method of survival.The training manual shall contain detailed explanations ofcrew duties in relation to emergency situations. Which of thefollowing tasks or duties shall be included in the manual,The use of on-board communication equipment.,Correct donning of fire protective clothing.,"The use of oars and other propulsion equipment for
survival crafts.",The method and use of sea-anchors (drogues).,Don't know.,A
The automatic voltage regulator is used to control the outputvoltage of the alternator at varying load conditions by:,"Varying the excitation field strength by regulating
excitation voltage/current","Regulating the voltage signal to the engine governor
to regulate the speed to the desired load condition",All of the mentioned alternatives,"Supplying variable current to compounding and no
load transformers in the alternator stator winding
circuit",Don't know.,C
The earth lamps in a 3-phase system indicate as follows:Red= bright  Yellow= dark  Blue= dim,hard earth - light earth - no fault,light earth - no fault - hard earth,light earth - hard earth - no fault,no fault - hard earth - light earth,Don't know.,A
The engine RPM drops because of:,Injection valve opening pressure is too low.,Water in a cylinder.,Clogged turbocharger filters.,Reduced cooling water flow.,Don't know.,D
The exhaust gas temperature is too high in all cylindersbecause of:,Water in a cylinder.,Any of the others.,Lubricating oil temperature is too high.,Charge air temperature is too high.,Don't know.,C
The necessary elements to create fire are,heat and chain reaction,"combustible, oxygen, flames and chain reaction","combustible, oxygen, heat and chain reaction","combustible, air, flames and gas",Don't know.,C
The purpose of the wear ring for the illustrated pump is to -,Absorb all impeller thrust.,Provide a replaceable wear surface for the shaft.,"Provide a replaceable wear surface for the pump
housing/impeller.",Support the end of the impeller.,Don't know.,A
The starting air valve is fitted for the purpose of:,Turning the engine for starting preparations,"Bringing the engine up to full rpm to start the
engine","To retard the engine revolution for manoeuvring
purpose.","Bringing the engine up to sufficient number of
revolutions for combustion to take place and engine
to run",Don't know.,C
The training manual shall contain instructions and informationin easily understood terms and illustrated wherever possible.Which of the following objects do not have to be explained indetail in the manual according to present regulations?,The use of all detection equipment,Illumination in launching areas,Means of escape - escape routes,The use of all survival equipment,Don't know.,A
Unconscious casualties who are breathing and whose heartsare beating should be placed in the Recovery Position. What isthe Recovery Position?,"The patient sitting in a up-right position and with
the arms and legs arranged in order to keep this
position stable.",Laying in a water-bed.,"The patient placed in a ""face -to-the-floor"" position,
and with arms and legs arranged in order to
stabilize this position.","The patient sitting in a position with the head kept
as low as possible.",Don't know.,C
What are bending moments?,Forces affecting the aft part of the vessel.,"Forces which bends the vessel up and down in the
fore-aft direction (hogg/sagg).
fore-and-aft direction (hogg/sagg).",Forces affecting the fore part of the vessel.,"Forces affecting between loaded and empty parts of
the vessel.",Don't know.,D
What are the duties of the engineer officer in charge of thewatch?,"To keep constant surveillance of machinery and
auxiliary systems.","To ensure that the machinery spaces are properly
manned.","To take appropriate actions to maintain the speed
required.","To carry out inspections of the steering gear at
least once a watch.",Don't know.,C
What could be the most probable cause to overheating ofbearings?,Lubricating oil temperature is too high.,Overload of the engine.,Lubricating oil temperature is too low.,Any of the others.,Don't know.,A
What initial simple recommendation can we give to reduceoxygen in the boiler water?,Raise the feed water temperature.,"Increase the ""Blow down"".",Increase the boiler pressure.,Lower the feed water temperature.,Don't know.,C
What is the main purpose of bottom-blowing a boiler?,To get rid of sludge in the water chamber.,"To adjust steam pressure when the burner capacity
is excessive.","To control that water is present in the water
chamber, when the boiler is in active operation.","To check that we do not have any leak of smoke
and gases in the combustion camber.",Don't know.,D
"What is the meaning of ""stand by""?","That you shall stand very close to the engineer
officer.","That the watch keeping personnel shall be ready for
starting or manoeuvring the main engine.",That you shall keep on with your work.,That you are properly relieved from your duties.,Don't know.,C
What is the purpose of the corrugations on the plates?,To increase turbulence in the liquids.,To increase the surface area.,All of these.,Stiffening of the thin metal sheet.,Don't know.,A
What is the reason to charge air pressure drops?,Exhaust gas boiler fouled. ,Fuel pressure in the system too low.,Insufficient cooling of the charge air.,Scavenge ports dirty.,Don't know.,C
"What is the requirement as regards stopping arrangements forpower ventilation of accommodation spaces, cargocompartments, machinery spaces, service spaces and controlstations?","Ventilation must be remotely controlled from a
central fire control panel","Ventilation must stop automatically whenever the
ship's fixed fire detection and alarm system is
activated","Ventilation must be capable of being stopped from
an easily accessible position outside the space being
served","Only a manually operated stopping arrangement is
allowed",Don't know.,A
What precaution is to be taken when the Engineer on Duty isentering an UMS-mode operated engine room due to an alarmor due to a scheduled routine check?,"Any of the mentioned alternatives will meet the
requirements.",Leave the UMS selector switch in UMS-mode,"Switch the UMS selector switch to manual mode
and engage the ""dead man alarm""","Switch the UMS selector switch to manual mode
only",Don't know.,C
What quantity of reserve fuel is to be available for dieseldriven fire pumps outside of the main machinery space?(SOLAS II-2/4.3.3.2.4),"Sufficient amount for fifteen hours operation at full
capacity",20 litres,40 litres,"Sufficient amount for six hours operation at full
capacity",Don't know.,D
What should be observed concerning the vessel's torsion?,The vessel's draft?,Weight of the containers?,Distribution and weight of the containers?,Distribution of the containers?,Don't know.,C
What was the cadet to be aware of when using the needlegun?,"He should be aware of the steel thickness of the
valve","He should be aware of the danger of using a needle
gun","There could be a leak in the cowline when he uses
the needle gun","He should be aware of not to open the valve before
starting to pick the rust",Don't know.,B
"What will You do if the purifier starts to vibrate, or has heavyvibrations?",Check the vibration alarm.,"Stop the purifier immediately. Check the bowl for
heavy side, deposits, bearings, housing, and the
spindle for damage.",Try to increase the flow.,Try to decrease the flow.,Don't know.,C
"What would be the preferred colour to use when maintainingthe paint on shell, plating, structure and bottom/tanktopp inthe engine room?","White or light grey to ensure all minor spills and
leakages are noticed and dealt with.","Dark brown/red colour to camuflage any minor
leakages and oil spills.",Whatever paint is available.,The same colour as machinery and equipment.,Don't know.,A
"When an engine is working normally, the lubricating oil returntemperatures are moderate and the running temperatures ofthe moving parts are also moderate. Lubricating oil is not avolatile liquid and the temperature inside the crankcase isinsufficiently high to cause concentration of vapor. What would",Above 250 deg C,Above 200 deg C,Above 100 deg C,Above 150 deg C,Don't know.,B
When an evaporator is operated in extremely cold water youmay need to throttle the seawater supply to:,Prevent the evaporator from cold shocking,Avoid flooding the evaporator shell,Maintain the specified boiling temperature,Increase the evaporator distilling rate,Don't know.,D
"When an overhaul is completed and the compressor is goingto be started for a test run, it is important that we:","testrun upto maximum pressure of the capacity
(100 % load).","check that all air consuption are closed during the
test run.",check the direction of rotation.,"check that we have an open discharge line all the
way to the pressure bottle.",Don't know.,A
When paralleling two alternators they must have:,Same phase rotation,Same number of phases,Same frequency,All of the mentioned alternatives.,Don't know.,A
When shall you use goggles?,When the floor plates have become slippery.,When the noise is unbearable and you need to talk.,When you need to protect your ears.,When you need to protect your eyes.,Don't know.,C
Which among the following list is particularly required for atotally enclosed lifeboat ?,handrails inside for persons moving to their seats,"windows on both sides can be closed watertight and
opened for ventilationc",self-bailing arrangementsd,access hatches which can be closed watertight,Don't know.,C
Which of the following would be considered pollution under theUS water pollution laws?,Garbage,All of the mentioned,oil,Hazardous substances,Don't know.,D
Which one of the listed requirements regarding lifeboatequipment do not correspond to present regulations? Thenormal equipment of every lifeboat shall include:,one copy of prescribed lifesaving signals,sea-charts and navigating equipment,two hatches,a survival manual,Don't know.,C
Why did he want to make an allotment?,Because he was married.,"Because he wanted to get acquainted with the other
officers.","Because he was tired and wanted to rest in his
cabin.",Because he wanted to build a house.,Don't know.,C
Why is it so important to keep the lub oil viscosity within safelimits?,It is not important,To keep the additives in good condition.,"To keep the oil protective film between moving
metal surfaces","The luboil viscosity has no influence on the oil's
lubrication ability.",Don't know.,D
"With no.1 and no.2 alternators running in parallel and the kwloads equally shared, one alternator is drawing much highercurrent than the other. What does this indicate?","The alternators are not generating the same
voltages and should be adjusted on automatic
voltage regulator rheostats",One alternator has lost one of its phases,"Alternator frequencies are different and should be
adjusted on the governor speed controllers","Alternators are out of phase and should be tripped
and paralleled againlong period in the centrifuge bowl.",Don't know.,A
"With two alternators running in parallel, you wish to stop one.The first step is to:",Remove the load from the alternator to be stopped,Increase the frequency on the switchboard,Trip the main circuit breaker,Make sure the load is evenly shared,Don't know.,D
You are experiencing large hunting on the fresh water coolingsystem. What is the reason?,"You have a cracked liner, or cover.",The expansion tank is empty.,The fresh water circulating pump is worn out.,The cooling water temperature is too low.,Don't know.,C
"You are having a blow-by on the main engine, but due to thecircumstances, it is impossible to stop and do a pistonoverhaul. What is the correct action to take?",Increase cylinder oil consumption.,"Reduce speed temporarily and increase cylinder oil
consumption.",No action necessary.,Reduce speed.,Don't know.,A
You are paralleling two alternators and the pointer of thesynchronoscope slowly stops rotating and remains stopped inone position before the circuit breaker is closed. This wouldindicate:,"The frequency of the incoming alternator is the
same as that of the main switchboard","The voltage of the incoming alternator is the same
as that of the main switchboard","The synchronoscope is not functioning properly and
should be checked","The incoming alternator is in phase with the
switchboard, but the frequency is not the same",Don't know.,C
Your vessel is a tanker in ballast and the two vessels areinterlocked after collision. You have already made clear that allpeople are well taken care off and you will try to separate thetwo vessels. What should be your greatest concern?,"That you have your permission from the company to
do so.",The exact time of the collision.,"If the vessels separate, the other vessel may run
away and you will be the only one to blame.","That the separation may cause sparks that can
possibly ignite the oil or any other flammable
substances.",Don't know.,A
