ques,A,B,C,D,E,Ans
"Question: Before engaging the Turning Gear, precautions should be taken to:",A. Close the inlet and outlet valves for cooling water,B. Transfer M/E control from control room to emergency control console of engine,C. Open the indicator cocks and open the starting air supply,D. Shut off the starting air supply and open the indicator cocks,Don't know,D
Question: Before entering tanks and / or enclosed spaces - what should be done?,A. Test the atmosphere of the space by approved method.,B. Notify the master or the responsible officer.,C. All of the alternatives together.,D. Agree with those entering the space on a signal system.,Don't know,C
"Question: Due to exposure to heat fatigue, heat stroke and dehydration, what is the maximum recommended effective temperature (ET) for full work load in enclosed spaces?",A. 27.5°C ET?,B. 30.5°C ET?,C. 29.0°C ET?,D. 35.0°C ET?,Don't know,A
Question: Due to failure of one of the carbon brushes the excitation voltage is lost on one alternator that is operating in parallel. Will that alternator then:,A) Continue to share the active load (kW) but have very high reactive load (kVAR),B) Overload due to reduced voltage output and increased current,C) Try to take all the load and so trip the main circuit breaker,D) Completely loose its share of the load causing the auxiliary engine to speed up,Don't know,A
"Question: During a routine check of one of the auxiliary engines in an UMS operated engine room, a minor leakage on a high pressure fuel pipe was observed. What would be an appropriate action and/or precaution to be taken? (Assume normal operation; 2 sets operating and 1 set standby)","A. Have a motorman on watch for the rest of the night, especially instructed to watch the engine",B. Any of the mentioned alternatives will meet the requirement.,"C. Change the operation to the third generator set, leaving the original set as stand-by awaiting possibility to repair the failure.","D. Change operation to the third generator set, preparing the original set for repair of the failure and switching to manual mode until repair is carried out.",Don't know,D
"Question: During synchronising, the incoming generator should be running slightly ""fast"" compared to the busbar frequency. This is to ensure that the:",A Incomers reverse power trip is tested,B Incomer picks up as a generator,C Incomer picks up as a motor,D Most rapid synchronising action is achieved,Don't know,D
Question: How does low expansion foam act as an extinguishing agent when dealing with oil fires?,A. By cooling only,B. By smothering only,C. The heat from the fire causes the foam to produce an inert gas which gradually extinguishes the fire,D. By smothering and also by providing some cooling,Don't know,B
Question: How many bolts do you have to have in the blinds on the bunker lines when not in use?,A: One bolt in every hole,B: 2 bolts,C: Not necessary to blank off,D: 4 bolts,Don't know,D
Question: How often shall the oxygen analyser be calibrated?,A. Every time the plant is shut-down,"B. Prior to every plant start-up, following an 8 hour stop",C. On Chief Officers order,D. At regular intervals,Don't know,A
Question: How often should normal testing of the cooling water be done?,A: Every 2.nd week.,B: Once a month.,C: Once a week.,D: Every day.,Don't know,D
Question: How will continuous low load operation influence the service interval of the cylinder covers on a 4-stroke engine?,A. No influence at all,"B. Improve the service interval since the engine is ""saved"" from high loads",C. Reduce the service interval,"D. Increase the service time due to carbonizing of cylinder head, piston and turbocharger.",Don't know,C
Question: If water contamination occurs in the crankcase oil of an auxiliary engine the oil viscosity will:,A. Decrease.,B. Nothing happens.,C. Increase.,D. Stay at the same.,Don't know,C
"Question: In a PID controller we have possibility to change the setting of the Proportional band (P), the Reset time (I) and the Rate time (D). Please indicate which curve shows the typical response to change in input, if the setting of the reset time is too fast.",A Figure 1.,B Figure 4.,C Figure 3.,D Figure 2.,Don't know,A
Question: In a fresh water tank with a height of 5 meters we shall use a pressure transmitter for level measurement. The tank has a vent-pipe leading to deck 8 meters above the top of the tank. What pressure shall we use as a guidance when ordering the pressure transducer?,"A) 0,5 Bar.","B) 1,3 Bar.","C) 0,8 Bar.","D) 2,0 Bar.",Don't know,A
Question: It is very important to follow a maintenance schedule. Why?,A. To improve the purifier's efficiency.,B. Cleaning of the bowl is only needed.,C. To prevent serious damages on main components.,D. Not important at all.,Don't know,B
Question: Liquid flow through pipe lines is often measured by means of differential pressure across a restriction (orifice) in the pipe as illustrated by this figure. Which of the listed formulas will you utilize for calculating the volumetric flow F?,A) Formula 1,Formula 4,C) Formula 3,D) Formula 2,Don't know,C
Question: Monoammonium phosphate used as a dry powder can be effective on:,A. metals,"B. solid, liquids and gases",C. liquid and gases,"D. solid, liquid, gases and metals",Don't know,A
"Question: Most boiler design incorporate external ""downcomers"". For what purpose are those ""downcomers"" primarily incorporated?",A. Ensure adequate circulation in all conditions of steaming.,B. To increase heating surface area.,C. Directional control of steam bubbles.,D. Provide extra support for furnace tubes.,Don't know,D
Question: One of the Main Engine cooling pumps is down for maintenance. The rest of the cooling pumps are operating on full capacity with minimum margins on the maximum temperature limit. What will be the correct precaution or action to take at the end of the day?,"A. Trust that the alarm function and automatic temperature regulation will assure safe operation for UMS-mode during the night, switching to UMS-mode as normal","B. Operate the engine room on manual mode until the cooling pump is in operation, switched in stand-by mode.","C. Arrange with a rating ""on watch"" in the engine room.","D. Arrange frequent checks of the condition during the night, operating on UMS-mode",Don't know,B
"Question: Regarding deadweight cocks and screw caps for double bottom tank sounding pipes ie. engine offerdam, bilge tank, D.O. double bottom etc. Which of the following statements is correct?",A. Caps should be placed on top of sounding pipes to keep the engine room tidy.,"B. Caps and cocks should be closed at all times, to prevent ingress of water into the engine room in case of tank bottom damage.",C. Deadweight cocks should be fastened in the open position to save time when sounding the tanks.,D. It does not matter where the cocks/caps are unless when using the tank.,Don't know,A
"Question: TBN - total base number from a lube oil test, indicates the:",A. Amount of organic acids in the oil.,B. Flash point.,C. Alkalinity of the lubricating oil.,D. Amount of contaminants in the lubricating oil.,Don't know,C
Question: The cylinder oil is supposed to be:,A. alkaline.,B. does not matter.,C. neutral.,D. acidic.,Don't know,A
Question: The engine RPM drops because of:,A: Bad fuel oil quality.,B: Fuel oil pipes or filters are clogged.,C: High lubricating oil temperature.,D: Leaking exhaust valves.,Don't know,A
Question: The engine does not turn when starting air is supplied because of:,A. The engine temperature is too low.,B. Released blocking function in remote starting system.,C. Leakage in the indicator cocks.,D. Water in the starting air.,Don't know,B
Question: The training manual shall contain instructions and information in easily understood terms and illustrated wherever possible. Which one of the following objects do not have to be explained in detail in the manual according to present regulations?,A The use of engines and accessories (lifeboats/rescue boats),"B With assistance of illustrations, the use of radio life-saving appliances",C The use of onboard communication systems,D The use of drogues,Don't know,A
Question: Too high exhaust temperature in one cylinder becomes because of:,A: Water leakage in the cylinder.,B: Charge air temperature is too high.,C: Too much lubricating oil in the cylinder.,D: Injection valve opening pressure is too low.,Don't know,D
Question: We have a problem with surging in the turbocharger. Which of the following could be the cause?,A: The lubrication oil pump is malfunctioning,B: Worn out bearings on the turbocharger,C: Dirty scavenging air cooler on the air side,D: Dirty rotor blades and nozzle ring.,Don't know,D
Question: What could be the most probable cause to an abnormal lubricating oil pressure?,A. The oil relief valve on the cylinder block or the safety valve in the oil pump is sticking.,B. Clogging in waterside of the lubricating oil cooler.,C. Wrong type of lubricating oil.,D. Faulty pressure gauge.,Don't know,C
Question: What determines the power factor of an alternator when it is connected singularly to the switchboard?,A The generated voltage,B Number of pairs of pole coils in the excitation winding,C The load connected to the switchboard,D The excitation voltage,Don't know,C
Question: What is Hz the abbreviation for?,A) Revolution per minute,B) Frequency in an Alternating Current (AC),C) Measure for Resistance,D) Frequency in Direct Current (DC),Don't know,B
Question: What is a system employing a single common freshwater cooler (cooled by means of seawater) called?,A: Central cooling system,B: Low temperature freshwater system,C: Common cooling system,D: High temperature freshwater system,Don't know,A
Question: What is static amplifying,A Change in input signal times change in output signal,B Change in output signal divided by change in input signal,C Change in input signal divided by change in output signal,D Corresponding change in signals,Don't know,B
Question: What is the lowest allowed flashpoint for fuel oil used in the ship's main engine? (SOLAS II-2/14.1.1),78°C,60°C,88°C,43°C,Don't know,A
Question: What is the main task of the lubrication oil in the engine?,A. To transfer heat out of the engine (cooling).,B. To lubricate and cool the engine.,C. To lubricate the engine.,D. To keep the crank case clear and free of deposit.,Don't know,C
Question: What is the purpose of the cylinder head safety valve?,A. To relieve excessive high pressure in the cylinder to protect the engine from being damaged.,B. For indication of engine being overloaded.,C. A valve for safety stop (emergency) of the engine.,D. To adjust the cylinder pressure to a safe working pressure.,Don't know,B
Question: What is the signal we measure from a NiCr/Ni thermocouple?,Ohm,mA,mV,Watt,Don't know,A
Question: What is the symbol for a THYRISTOR?,A) Figure 3.,B) Figure 2,C) Figure 4,FIGURE 1,Don't know,A
Question: What is typical for a feed-forward control system,A We can calculate the system response mathematically,B We are controlling the process inlet side,C It is easy to obtain a perfect control,D The process is always oscillating,Don't know,B
Question: What refrigerant temperature would you expect to find at the compressor discharge of an air conditioning system?,+140°C,+20°C,+5°C,+85°C,Don't know,B
"Question: What shall you do if you are in the engine room and the alarm for ""CO2 system in the engine room"" is released?",A. Start the fire pump.,B. Leave the engine room immediately.,C. Ensure that the CO2-system has started extinguishing.,D. Immediately run for the nearest fire extinguisher.,Don't know,A
Question: What will You do if the PH-value in the boiler water is over 11?,A. Decrease the dosage of chemicals.,B. Blow the boiler and renew water until the PH-value is normal again.,C. Nothing.,D. Increase the dosage of chemicals.,Don't know,C
Question: What will happen if the charge air pressure drops?,A: The turbochargers cooling water flow becomes to high.,B: The cylinder cooling water flow becomes too high.,C: The performance of the engine is nearly the same.,D: The performance of the engine is reduced noticeably,Don't know,B
"Question: When carrying out piston overhaul, it is important to clean the ring grooves properly. Why?",A. No influence at all,"B. Improve the service interval since the engine is ""saved"" from high loads",C. Reduce the service interval,"D. Increase the service time due to carbonizing of cylinder head, piston and turbocharger.",Don't know,B
"Question: When cross-flooding arrangements to correct unsymmetrical flooding and excessive heel angels in damaged condition are installed in passenger ships, what is the maximum time allowed for equalization?",A) 30 minutes,B) 10 minutes,C) 20 minutes,D) 15 minutes,Don't know,A
"Question: When overhauling the cylinder covers on a modern 4-stroke engine, is it important not to interchange inlet and exhaust valves?",A. Not so important.,B. Can be changed if same size.,C. Important due to different material and working conditions.,D. Important due to different type size valve guide.,Don't know,C
Question: Where shall shore side fire-fighting personnel find necessary information on the ship's fire control in an emergency situation? (SOLAS II-2/20.2),A. The Captain of the ship is responsible for giving the necessary information of the ship's control plan,B. Copy of fire control plans/folders to be posted in a prominently marked localisation on the navigating bridge,C. Copy of the fire control plans/folders to be stored in a watertight prominently marked container outside the deck house,D. Information to be given by the ship's Owner through the nearest Rescue Coordination Centre,Don't know,D
Question: Which alternative is correct for measuring current over the load L?,A) Figure 3.,B) Figure 2.,C) Figure 4.,D) Figure 1.,Don't know,D
Question: Which item among those below is included in the normal equipment of every liferaft?,A. one boat-hook,B. one searchlight which can work continuously for not less than 3 hours,C. two painters of a length equal to not less than the distance from the stowage position of the liferaft to the waterline,D. instructions for immediate action,Don't know,A
Question: Which of the 3 alternatives given is correct for an AND-gate?,A) Figure 3.,B) Figure 1.,C) Figure 2.,D) None of the figures.,Don't know,D
Question: Which of the following detectors will you choose for detecting torque of a steel shaft?,Pyrometer,B) Strain gauge,C) Ultrasonic gauges,Synchro,Don't know,B
Question: Which of the following features is required for an anti-exposure suit?,A. can be continuously worn without impeding every duties to be performed by the wearer when in normal watch on the bridge,B. has a lateral field of vision of at least 120°,C. is made of such a material that it cannot be torn,D. is marked with the name of the vessel to which the appliance belongs,Don't know,C
Question: Which of the following requirements applies to the inert gas system of a tanker?,A. All these requirements apply,B. Inert gas must be delivered at a rate of at least 125% of the maximum rate of discharge capacity of the ship expressed as a volume,C. The oxygen content of the atmosphere of any part of any cargo tank must not exceed 8%,D. The oxygen content of the inert gas must not exceed 5%,Don't know,C
Question: Which of the following requirements regarding on board stability data corresponds to present regulations? (NSCL 4/12.1),"A) A calculation example showing use of ""GM"" limitation curves.","B) Drawings and calculations documenting the stability of the ship, both in intact and all possible damage condition.",C) Stability data produced by stability calculation instruments.,"D) A calculation example showing the use of ""KG"" limitation curves.",Don't know,B
Question: Which one of the listed requirements regarding abandon ship drills corresponds to present SOLAS regulation?,A. muster station for unaccompanied minors (UM),B. gathering place for embarkation formalities,C. muster station,D. embarkation station,Don't know,B
Question: Why do many engine makers recommend to grind the valve spindle sealing surface with a half degree difference to the valve seat?,A. To compensate for the heat expansion,B. To minimize heat transfer between seat and housing.,C. To avoid sticking between valve and seat during high load operation,D. To improve the sealing surface between valve and seat during operation of the engine (compensate for the bending of the valve disc caused by combustion pressure),Don't know,A
Question: Why must we never use grinding paste on the seating or on the gliding surface of a needle?,A. The grinding paste is too rough,B. The grinding paste will cause a too smooth movement the needle and then damage the seating,C. Any remaining grinding paste will corrode on the metal surface and after some time the needle will be damaged,D. The grinding paste is too expencive,Don't know,A
Question: You are Sen.Off.Deck on a laden tanker which has collided with a smaller vessel. What should your first action be?,A Call the company immediately and ask for further procedures.,B Identify the extent of damage to own vessel and take necessary steps to safeguard the complement and the vessel.,C Record the manoeuvre of the other vessel before the collision.,D Make a statement and hold the other vessel responsible for the collision.,Don't know,C
"Question: You are in charge of the bunkering, and the rate of flow is 350 tons an hour, you are bunkering in the night time, and you are bunkering into 6 different tanks at the same time. After a while, you are confused, and feel that you have lost track of the situation. What do you do?",A: Reducing the rate of flow to gain time,B: Prepare yourself and the crew for an overflow on deck,"C: Stop bunkering, and establish facts, before bunkering is resumed",D: Open other tanks to relieve the situation,Don't know,D
Question: You are witnessing someone about to faint. What are the symptoms?,A. The pulse is very fast and the person is getting cold.,"B. The person may be very pale, and pulse is slow at first and weak.",C. Red face and big eyes.,D. The person starts to talk a lot and seems superactive.,Don't know,A
Question: You have installed a new bearing in the main engine. What is the necessary action to take in the running-in period?,A. Allowance must be made for a running-in period with reduced speed and careful temperature monitoring.,B. No necessary steps to be taken.,C. Allow for 1 hr. running with appropriate temperature monitoring of the bearing.,D. Stop after 30 min. running to hand feel the bearing.,Don't know,B
"Question:The circuit consists of two inductors, L(1) = 6H and L(2) = 12H, in series. Calculate the equivalent L(S) of the inductors.",L(S) = 4H,L(S) = 2H,L(S) = 18H,"L(S) = 1,5H",Don't know,A
"What does the term OIL mean, as used in the Oil Pollution Regulations?",A) Fuel oil,B) Sludge,C) Oil refuse,D) All of the mentioned,Don't know,C
What is the purpose of the O.D.M.E. (Oil Discharge Monitoring Equipment) printer?,To prove that oil has been pumped overboard according to regulations,To prove fault conditions in the O.D.M.E,None of the mentioned,To prove that the O.D.M.E. system has been used,Don't know,D
"You are planning the discharge of a crude oil tanker with segregated ballast tanks, SBT. Which of the cargo tanks should be crude oil washed if you are expecting heavy weather?",The dedicated heavy weather ballast tank,All the cargo tanks that were not COW'ed in the last discharge port,"Both sloptanks, and 30% of the remaining cargo tanks",At least 30% of the cargo tanks,Don't know,A
