QUES,A,B,C,D,E,Ans,,
"Your vessel ""A"" is bound for the Pilot station. Vessel ""B"" will be picking up the pilot before you. According to your observations you are getting too close to vessel ""B"" and Pilot boat ""C"". What would you do to avoid a collision?","Observe the situation during a period of time and see how its developing, replace ""will"" with ""would""","Call vessel ""B"" and inform them to turn around to starboard",Try to make a port turn,Full astern and drop the anchor,Don't know,C,,
"You are on duty on vessel ""A"", to avoid collision in the described situation, how will you act?",By giving the vessel a port turn,Wait and see. Maybe the situation will be cleared by itself,By giving the vessel a starboard turn,By stopping the engine,Don't know,B,,
"What is a ""Rescue Sub-Centre"" (RSC)?",A center established to assist the main national rescue centre,A unit subordinate to a rescue co-ordinating centre,A centre for underwater search and rescue operation,A national search and rescue centre subordinate to an international search and rescue co-ordinating centre,Don't know,B,,
You are Sen.Off.Deck onboard a merchant vessel. During the night you have been in a collision with a sail boat and there are no signs of life in the water. What would you do?,Alarm the rescue centre and commence searching for any survivors,Leave the position as fast as possible,"Call the company, explain the situation and ask for orders",Do nothing and wait for assistance,Don't know,D,,
What is the search pattern system called where 1 ship and 1 plane are involved?,Patterton,SOLAS,Flight Cross,"Coordinated Crab (Note: In standard IAMSAR, this is often called a Coordinated Search, but ""Coordinated Crab"" is the specific answer for this test software's terminology.)",Don't know,C,,
"When using a buoy as an aid to navigation, which of the following should always be considered?",That if the light is showing its correct characteristic it is in its right position,The buoy may not be in its charted position,The buoy is nearly always well anchored and can be considered to be in its charted position providing there has not been any recent storms in the area,If no radio navigation warnings have been issued concerning the buoy it can be assumed to be in its correct position,Don't Know,C,,
"Most cases of oil pollution are caused by human errors, often jointly by seafarers and shore based clean-up teams. What has proved to be the essential mistake executed by the shore people regarding environment damages?",Dispersement of chemicals?,Usage of sawdust?,Usage of oilbooms?,Usage of absorbent pads?,Don't Know,A,,
"What is the result of a ""high metacentric height""?",The vessel's tweendeck heights is too high?,The vessel will roll violently?,The vessel will roll slowly or be unstable?,The vessel will have a great bending moment?,Don't Know,C,,
Which of the following requirements to ships stability for normal operation corresponds to present regulations? (NSCL 4/12.2),"Unless othereays stated in the approved stability calculation, the total weight of the deck cargo shall not exeed 50 metric tons.",The ship is loaded in such a manner that adequate stability is achieved in all loading condition.,"I waters with the danger of icing, loading of deck cargo must be approved by competent authority.",Centre of gravity shall be calculated with an accurancy better than 5 percent.,Don't Know,C,,
Small oil spills on deck can be kept from going overboard by doing what?,Driving wooden plugs into the vents,Plugging the sounding pipes,Plugging the scuppers,Closing the lids on the vents,Don't Know,C,,
What are bending moments?,Forces affecting between loaded and empty parts of the vessel.,Forces affecting the aft part of the vessel.,Forces which bends the vessel up and down in the fore-aft direction (hogg/sagg).,Forces affecting the fore part of the vessel.,Don't Know,B,,
"It is important that a compress is done correctly. One of the alternative signs, after completed compress bandage, shows that the bandage may be to tight. Which one?",Swelling above the bandage.,Blue colour of the skin above the bandage.,Heartbeat increase and a dizzy feeling.,Swelling below the bandage and heavy pain.,Don't Know,C,,
For cargo calculations there are two corrections to be made. Two tables are used for this purpose.,List and trim correction tables.,Shear and bending tables.,Cargo calibration tables.,Pressure and vacuum tables.,Don't Know,C,,
"Your vessel has been involved in a collision, which has resulted in a heavy oil leakage. Who should be called to handle pollution claims and damages?",The Classification Society's representative.,Flag state representative.,The P & I Club's nearest representative.,The Leading Hull Underwriter's nearest Average Agent.,Don't Know,C,,
"If pollution takes place, what would you do immediately?",Inform the vessel's agent.,Report to relevant authorities.,Inform the manager.,Start clean-up operations,Don't Know,D,,
In what kind of atmosphere should tank washing be carried out onboard vessels with inert-gas system?,After the bottom has been covered with salt water.,Steamed to a humidity of at least 75%,After an electric fan have been blowing fresh air into the tank for a minimum time of one hour.,Inerted to less than 8% oxygen(IMO).,Don't know,D,,
You are in charge of discharging and crude oil washing a crude oil carrier. What is the maximum allowed oxygen level measured one meter below deck in a tank during crude oil washing? (IMO Reg),3%,8%,10%,5%,Don't know,D,,
Which international convention deals with pollution prevention?,MARPOL 73/78.,SOLAS.,ISGOTT.,STCW 78.,Don't know,A,,
"To supervise the pressure conditions in the cargo tanks, a special device is fitted for this purpose. What is it called?",Negative/positive pressure valve.,Supervising valve.,Pressure/vacuum valve.,Tank atmosphere control valve.,Don't know,B,,
During air venting/gas freeing of tanks the blowers use air from?,The ventilation line,The blower air inlet,The scrubber,The engine room,Don't know,B,,
"On a flue gas plant, the flue gas enters a washing tower where the gas is washed to remove soot, ashes and to separate undesired gases. What is the name of this «washing tower»?",The washing tower.,Cleaning tower.,Inert gas washer.,Scrubber.,Don't know,B,,
In an inert gas system audible and visible alarms shall be provided to indicate faulty conditions in the installation. Which of the following conditions do not activate the alarms? (SOLAS II-2/62.19.1),High gas pressure,High air pressure in water seal,High water level in the flue gas scrubber,High gas temperature,Don't know,C,,
What is the highest permitted back-pressure for the Cargo Pump when it is tested?,18.0 bar,1.25 times the maximum working pressure,5.0 bar,25.0 bar,Don't know,D,,
"To discharge the last amount of cargo ashore, the stripping pump through the small diameter line is used. Where does this small diameter line come from in the pump room and where is the line ending at the manifold?",From the cargo pump’s delivery side to the manifold’s presentation flange.,From the stripping pump’s suction side to the manifold’s presentation flange.,From the stripping pump’s delivery side to a particular shore line.,From the stripping pump’s delivery side directly to the manifold’s presentation flange.,Don't know,B,,
"The heat needed to transform a solid substance at a given temperature into a liquid substance with the same temperature is called, what?",Condensation.,Melting heat.,Entalphy.,Specific melting heat.,Don't know,D,,
"What is the required pressure when testing parts of the oil transfer system (hoses, loading arms etc.) if the test is to satisfy U.S. Coast Guard regulations?",Test pressure equal to the maximum allowable working pressure,Test pressure equal to 1.25 times the maximum allowable working pressure,Test pressure equal to 1.75 times the maximum allowable working pressure,Test pressure equal to 1.5 times the maximum allowable working pressure,Don't know,D,,
Why does MARPOL require debottoming of tanks prior to COW (Crude Oil Washing)?,To prevent corrosion in COW machines and COW piping,To prevent corrosion of tanks,In order not to mix crude and water,To prevent electrostatic generation,Don't know,B,,
"Fire protection for tankers of 20,000 dwt and upwards consist of different fixed systems and arrangements. Which of the following systems and arrangements do not correspond to the present regulations?",A fixed inert gas system for all cargo tanks,All tankers fitted with a fixed inert gas system shall be provided with a closed ullage system,A fixed foam system for cargo deck area,A fixed sprinkler system at the cargo manifold,Don't know,D,,
