QUES,A,B,C,D,E,Ans,
Question: What kind of safety equipment should be in place in connection with a grinding wheel?,A. Welding mask.,B. Shield.,C. Goggles.,D. Goggles and shield.,E. Don't know,B,
Question: What should be the duties of crew members not assigned to emergency teams?,A. They should prepare survival crafts and in general render assistance where needed.,B. Their prime duties should be to ensure proper operation of the remote controls.,C. They should be ready to assist the engine-room emergency team.,D. They should be integrated in the emergency team.,E. Don't know,A,
The ship is at anchorage. What is important to rise forward in daylight?,A Anchor ball.,B A special anchor flag.,C The company flag,D No particular.,E Don't know,D,
What is a helmsman's duty?,A He is steering the ship.,B He is watching the helmet.,C He is working like hell.,D He is looking after the men.,E Don't know,C,
What is a steering wheel?,A A wheel for steering lines.,B A compass for steering.,C A drum for heaving of ropes.,D A wheel with which the ship is steered.,E Don't know,B,
What is necessary protection when you are rust chipping with air tools?,A Fireman's outfit.,"B Protecting cloths, safety shoes, earmuffs","C Protecting cloths, safety shoes, gloves, goggles, earmuffs.","D Gloves, goggles, earmuffs",E Don't know,C,
What is the correct definition of: -make fast.,A To coil a rope.,B To secure the rope.,C To go for dinner.,D To act very fast.,E Don't know,B,
What is the main requirement of a lookout posted on the bridge?,A To assess ship types,B Good eyesight and able to communicate with the OOW (officer on watch),C To see changing weather patterns,D To detect new targets when they break the line of horizon,E Don't know,D,
"What is the meaning of ""Steady so""?",A Tight the ropes.,B Keep the rudder steady so.,C Keep steady course.,D Calm down your temper.,E Don't know,C,
"What will you do if you are helmsman and the OOW (officer on watch) gives you the order: ""Hard a starboard"" and after a while the order: ""Meet her""",A Put the rudder all the way to port to stop the turning,B Put the rudder midship,C Put the rudder 15 degrees to starboard,D Put the rudder about half way to port to slow down the turning rate,E Don't know,B,
"What will you do if you are helmsman and the OOW (officer on watch) gives you the order: ""Starboard ten""",A Change course 10 degrees to starboard,B Let the vessel drift 10 degrees to starboard,C Engage the automatic pilot and alter course,D Put the rudder 10 degrees to starboard,E Don't know,C,
You are on a power driven vessel when you suddenly run into a fog bank. What action would you take?,A Stop engines and call Master,B Call the Master and wait for him to arrive before taking any action if it appears to be all clear,"C Commence sounding the fog signal, engines on standby, call for lookout, call Master",D As the radar is clear proceed as normal for the time being as the fog will probably lift,E Don't know,C,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
