QUES,A,B,C,D,E,Ans,
"What is the fog signal for a power driven vessel underway but stopped, making no way through the water?",A: One prolonged blast on the whistle at intervals not more than two minutes,B: One prolonged blast on the whistle at intervals not more than one minute,"C: One long blast, one short blast, one long blast at intervals of not more than two minutes",D: Two prolonged blasts on the whistle at intervals of not more than two minutes,E: Don't know,D,
What is the function of an OSC (OPA-90),A: On the Scene Co-ordinator,B: Incident Commander,C: Spill management,D: Officer of Spill Command,E: Don't know,A,
What is the key to executing a voyage in a safe and efficient way?,"A: People, officers and crew",B: Well trained crew,C: Good shore management,D: Modern ship,E: Don't know,D,
What is the minimum number of bolts required in a 12 inch bolted flange cargo hose coupling?,A: 6 bolts,B: A bolt in every hole,C: 8 bolts,D: 4 bolts,E: Don't know,A,
What is the name of the IMO publication giving guidance in Search and Rescue operations?,A: AMVER,B: RASSO,C: EPIRB,D: MERSAR,E: Don't know,B,
What is the requirement regarding the oxygen content in the cargo tanks' atmosphere prior to loading(IMO)?,A Must not exceed 5% by volume.,B Must not exceed 9% by volume.,C Must not exceed 8% by volume.,D Must not exceed 7% by volume.,E Don't know,C,
What kind of information can be achieved from a NAVTEX?,A) Satellite positions.,B) Routes for sailing.,C) Navigational warning.,D) Course and speed of own ship.,E Don't know,D,
What should be observed concerning the vessel's torsion?,A Distribution of the containers?,B Weight of the containers?,C Distribution and weight of the containers?,D The vessel's draft?,E Don't know,A,
"When a number of merchant vessels... are participating in a search and rescue operation, one of the vessels will have to assume the duty as co-ordinator (CSS). Which one of the listed items is most important when designating a CSS?",A: Service speed of the vessels,B: Senior deck officers rescue operations experience,C: Good radio communication facilities (preferable 2182 kHz and/or 156.8 MHz (channel 16) radiotelephony and 500 kHz radiotelegraphy),D: The manoeuvring of the vessels,E: Don't know,C,
When a pollution incident occurs there is a plan for actions to be undertaken. State which of following priority sequences to be considered:,A Stop pumps – clean up – report?,B Clean up – report – stop pumps?,C Report – stop pumps – clean up?,D Stop pumps – report – clean up?,E Don't know,B,
"When loading cargo, once it has been established that cargo is entering the correct tank and line integrity is OK, loading rates should be increased to:",A: A rate as per the loading Master decision?,B: Strictly as per the Charter party maximum required rate?,C: As fast as the terminal can pump the cargo?,"D: Match the size and capacity of the ship's loading line, venting system and static generation hazard limitation, if any?",E: Don't know,C,
"When using ejector for stripping, in what order will you open the valves?",A: All valves on the delivery side and adjust the propellant pressure.,B: No special order.,C: First the driving water pressure valve.,D: The ejector's suction valve first.,E: Don't know,D,
Where can you expect piracy today?,A: In American waters,B: In European waters,C: All over the world,D: In Far East waters,E: Don't know,A,
Which item among those below is included in the normal equipment of every liferaft? ,A: one searchlight which can work continuously for not less than 3 hours,B: one boat-hook,C: one rustproof graduated drinking vessel,D: two painters of a length equal to not less than the distance from the stowage position of the liferaft to the waterline,E: Don't know,C,
Which one of the following requirements regarding lifebuoys corresponds to present SOLAS regulations? ,A: Be constructed of inherently buoyant material.,B: Have a mass greater than 2.5 kilos.,C: Have sufficient air.,"D: If being fitted with light or smoke signal, have a mass less than 4 kilos.",E: Don't know,D,
Who is responsible for keeping the required official publications onboard?,A The owner.,B The authorities.,C The radio officer.,D The master.,E Don't know,B,
Who is responsible for maintaining the vessel's structural strength?,A) The management company.,B) The classification society.,C) The master.,D) The flag state administration,E Don't know,A,
Why are you only allowed to load maximum 98% of the tank capacity?,A Due to temperature expansion.,B Danger of overloading.,C Danger to vessel stability and strength.,D It is company policy.,E Don't know,D,
You are approaching the shore in a lifeboat when you see a person holding a white flag. He is moving it in a horizontal motion from side to side. What does this indicate?,"A. Stay offshore, rescue boat is coming",B It is OK to land here,C Standby for a rocket line to assist you,D Landing here is highly dangerous,E Don't know,B,
You are in a position as illustrated. What is the instantaneous oil discharge limit according to MARPOL?,A 120 L/nm,B 60 L/nm,C 30 L/nm,D 15 L/nm,E Don't know,A,
"You are in charge of discharging a full cargo from a product tanker equipped with segregated ballast tanks, SBT. How can you find out if there has been a leakage of cargo into the SBT system?",A: Check the cargo tanks for water prior to discharging,B: Use an oil/water interface detector after discharging,C: Use the Oil Discharge Monitoring Equipment (ODME),D: Check the ballast tanks for oil after the ballast tanks have been filled,E: Don't know,C,
"You are on a vessel 10 nautical miles off the coast of Nigeria, West Africa. Are you allowed to dump empty glass bottles overboard?","A Yes, the bottles can be dumped if they are ground so that the resulting particles can pass through a screen with 50 mm openings","B No, glass bottles can not be dumped overboard","C Yes, the bottles can be dumped if they are ground so that the resulting particles can pass through a screen with 25 mm openings","D Yes, glass bottles can be dumped overboard",E Don't know,D,
You have made a turning circle at full speed in deep water... Do you think the diameter will differ from that of initial full ahead?,"A: Yes, there will be a large difference...",B: The diameter will be the same whatever initial speed we have when starting the turn,"C: Yes, it will be much smaller with slow ahead","D: Yes, it will be much greater with slow ahead",E: Don't know,B,
You have observed a small leak of oil at the manifold during discharging. What is you first action?,A Call immediately the person in charge.,B Do not bother.,C Call the terminal.,D Try to stop the leak.,E Don't know,A,
Your vessel is to turn in a narrow canal by use of one tug (turn to port with the bow). In which position and how would you use the tug? (Vessels engine will also be used).,A: Make the tug fast in centre bow fairlead for pulling,B: Make the tug fast on port shoulder to pull,C: Make the tug fast on starboard shoulder to push,D: Make the tug fast aft for pulling,E: Don't know,C,
you are Sen.Off.Deck onboard a merchant vessel. During the night you have been in a collision with a sail boat and there are no signs of life in the water. What would you do?,A: Do nothing and wait for assistance,"B: Call the company, explain the situation and ask for orders",C: Alarm the rescue centre and commence searching for any survivors,D: Leave the position as fast as possible,E: Don't know,B,
,,,,,,,
