QUES,A,B,C,D,E,Ans
Question: By a vessel in distress an SART is used. This SART is seen on the screen of a:,A - 10 cm radar,B - Don't know,C - 3 cm radar,D - 3 and 10 cm radar,E - Don't know,D
Question: Define the class of emission F1B:,A - Radiotelex and DSC - Frequency shift keying of sub-carrier with error correction,B - Radiotelephony - Frequency modulation,C - Radiotelex and DSC - Frequency shift keying of carrier with error correction,D - Radiotelephony - Phase modulation,E - Don't know,C
"Question: Due to exposure to heat fatigue, heat stroke and dehydration, what is the maximum recommended effective temperature (ET) for full work load in enclosed spaces?",A 35.0°C ET?,B 27.5°C ET?,C 29.0°C ET?,D 30.5°C ET?,E Don't know,C
Question: For how long time shall the Oil Record Book be retained onboard?,A One year after the last note was made,B Three years after the last note was made,C Five years after the last note was made,D Six months after the last note was made,E Don't know,C
"Question: If a person has been overcome by fumes from toxic cargoes such as acetone cyanohydrin and has ceased breathing, you would:",A Do nothing until professional medical help arrives?,B Wait for a resuscitator to be brought from the ship's first aid locker and use it?,C Immediately start mouth to mouth resuscitation?,D Place him in a stream of fresh air and let breathing restart by itself?,E Don't know,C
"Question: On area A1 the function ""Transmission and reception of ship to ship distress alerts"" is mainly based on:",A - the use of MF DSC,B - the use of SART transponders,C - the use of INMARSAT A,D - the use of VHF DSC,E - Don't know,D
"Question: On area A1 the function ""Transmission and reception of signals for locating"" is mainly based on:",A - the use of SART transponders,B - the use of INMARSAT Epirbs,C - the use of SARSAT COSPAS Epirbs,D - the use of VHF DSC,E - Don't know,A
Question: Radio waves used in satellite communication are not affected by ionosphere because:,A - TDM-signals are used,B - the frequency of the radio waves is too high,C - a disc aerial is used,D - Don't know,E - Don't know,B
Question: The INMARSAT B Mobile Earth Station Identification Number (IMN) consists of:,"A - nine digits, beginning by 3","B - seven digits, beginning by 1","C - nine digits, beginning by 6","D - nine digits, beginning by 4",E - Don't know,C
"Question: The vessel's cranes are marked: ""SWL 29,5 tons x 22 M/R (including lifting beam weight 1,5 tons)"". You are going to lift onboard a 28 tons load being placed on the berth. What will be the maximum distance from C/L of crane to the load you are going to lift in order to have a ""safe"" operation?",A 20 m.,"B 29,5 m.",C 22 m.,D 28 m.,E Don't know,C
Question: Unconscious casualties who are breathing and whose hearts are beating should be placed in the Recovery Position. What is the Recovery Position?,A As shown in figure 3.,B As shown in figure 2.,C As shown in figure 1.,D As shown in figure 4.,E Don't know,C
Question: What do you understand by the term Grabbing?,A Making the grab bucket move up and down.,B Making the crane jib move side to side.,C Making the grab bucket open and close.,D Making the crane jib move up and down.,E Don't know,C
Question: What is MERSAR an abbreviation for?,A - Merchant Ship Search and Rescue Manual.,B - Merchant Ship Safety and Rescue.,C - Maritime Emergency Radio Signal and Response.,D - Merchant Radio Signal and Receiver.,E - Don't know,A
Question: What is important to check when transferring a position from GPS to a chart?,A. Reading the correct position,B. Ensure that the chart and the GPS use same datum,C. Ensure that the map is updated,D. Plotting the correct position,E. Don't know,B
Question: What is most important when transferring route plans to other nav. systems?,A. Both systems work according to specification,B. Both systems are approved by the classification society,C. Both systems use same chart datum,D. Both systems are made by the same manufacturer,E. Don't know,C
Question: What is the shortest distance between two points?,A. Great circle,B. Rhumb line,C. Composite great circle,D. None of the above,E. Don't know,A
Question: What is the top priority if an incident occurs in US waters (OPA-90),A Safety of ship and crew,B Any immediate action to prevent loss of time,C Protection of the environment,D Prevention of oil pollution,E Don't know,C
Question: What will you serve seafarers who have been exposed to heat?,A Strong cocktails with plenty ice.,B Warm fresh water only.,C Hot and spicy food.,D Cold drinks and salt.,E Don't know,D
Question: When sending an OBS (weather report) with Inmarsat one should use Service Code '41'. With this address the weather report will always be transmitted to:,A - KNMI in Holland,"B - MET office Washington, this office will take care of further dispatch of the weather reports",C - Don't know,D - The meteorological station connected with the CES used,E - Don't know,D
Question: When should operational checks on navigation equipment be done?,"A. Regularly, when preparing for sea and entering port",B. When errors are indicated,C. When time allows,D. As often as possible,E. Don't know,A
"Question: When you have an urgent message concerning the safety of a vessel, aeroplane or any other means of ...........or a person, then you have to use:",A - MAYDAY,B - SECURITE,C - Don't know,D - PAN PAN,E - Don't know,D
Question: Which one of the listed requirements regarding life-saving appliances do not correspond to present regulations?,A. All prescribed life-saving appliances shall be fitted with retro-reflective material which will assist in detection,B. All prescribed life-saving appliances shall be made of non-combustible or fire retardant material,C. All prescribed life-saving appliances shall be of a highly visible colour on parts where this will assist detection,D. All prescribed life-saving appliances shall be resistant to deterioration where exposed to sunlight,E. Don't know,B
Question: Which one of the listed requirements regarding the launching and recovery arrangements for survival crafts corresponds to present SOLAS regulations?,A. Different type of launching and recovery arrangements shall be used for similar survival crafts on board the ship.,B. Launching and recovery arrangements shall be such that the operator at all times can observe the survival craft and lifeboats.,C. Each lifeboat shall be provided with separate appliances which is capable of launching and recovering the lifeboat.,D. Means shall be available to prevent any discharge of water on to survival crafts during abandonment.,E. Don't know,B
Question: Who is responsible for keeping the required official publications onboard?,A The master.,B The owner.,C The authorities.,D The radio officer.,E Don't know,A
Question: With the squelch mode on the VHF:,A - Don't know,B - undesirable noise is suppressed,C - another channel is chosen,D - range is increased,E - Don't know,B
